Id,dia_de_la_semana,dia,mes,ano,contador_ruta_reforma222,contador_ruta_revolucion,contador_ruta_patriotismo
473,miércoles,6,abril,2016,3052,NA,NA
474,sábado,26,marzo,2016,1155,NA,NA
475,lunes,28,marzo,2016,2562,NA,NA
476,viernes,10,mayo,2019,3246,965,1141
477,martes,14,mayo,2019,3697,1058,1293
478,domingo,19,mayo,2019,1680,549,540
479,viernes,31,mayo,2019,3606,1012,1232
480,miércoles,26,febrero,2014,2819,NA,NA
481,miércoles,29,enero,2014,2579,NA,NA
482,domingo,23,febrero,2014,1628,NA,NA
483,viernes,14,febrero,2014,2683,NA,NA
484,viernes,7,febrero,2014,2562,NA,NA
485,lunes,24,febrero,2014,2629,NA,NA
486,sábado,1,marzo,2014,1502,NA,NA
487,martes,23,septiembre,2014,2288,NA,NA
488,lunes,13,octubre,2014,2393,NA,NA
489,lunes,23,mayo,2016,2364,NA,NA
490,martes,7,junio,2016,2706,NA,NA
491,jueves,9,junio,2016,2811,NA,NA
492,domingo,3,julio,2016,1074,474,579
493,lunes,11,julio,2016,2315,616,731
494,jueves,14,julio,2016,2739,819,851
495,martes,26,julio,2016,2625,821,791
496,viernes,19,agosto,2016,2261,722,866
497,martes,30,agosto,2016,2925,884,1032
498,jueves,1,septiembre,2016,2978,919,966
499,jueves,8,septiembre,2016,299,932,997
500,viernes,16,septiembre,2016,810,346,414
501,lunes,19,septiembre,2016,2807,837,927
502,domingo,25,septiembre,2016,1143,760,178
503,domingo,2,octubre,2016,1204,520,475
504,sábado,8,octubre,2016,1442,608,577
505,lunes,10,octubre,2016,2623,931,921
506,sábado,22,octubre,2016,1486,619,585
507,martes,25,octubre,2016,2998,1002,1148
508,sábado,29,octubre,2016,2708,819,1059
509,martes,1,noviembre,2016,2583,860,1016
510,jueves,15,diciembre,2016,225,784,1009
511,viernes,6,enero,2017,2435,869,939
512,domingo,22,enero,2017,1192,570,584
513,martes,28,febrero,2017,3238,1127,1323
514,jueves,2,marzo,2017,3201,118,1359
515,lunes,10,abril,2017,2593,895,894
516,martes,11,abril,2017,2569,931,849
517,jueves,13,abril,2017,1464,530,384
518,jueves,8,junio,2017,3016,1012,1213
519,jueves,15,junio,2017,3002,1069,2914
520,miércoles,28,junio,2017,2236,788,2776
521,sábado,1,julio,2017,1327,556,913
522,sábado,29,julio,2017,NA,626,504
523,jueves,24,agosto,2017,NA,104,607
524,martes,29,agosto,2017,NA,773,NA
525,miércoles,30,agosto,2017,NA,711,NA
526,lunes,4,septiembre,2017,NA,794,NA
527,sábado,23,septiembre,2017,NA,NA,648
528,domingo,24,septiembre,2017,NA,NA,780
529,domingo,15,octubre,2017,NA,NA,473
530,lunes,6,noviembre,2017,332,NA,1197
531,lunes,13,noviembre,2017,3289,1039,1235
532,martes,21,noviembre,2017,3175,1149,1326
533,viernes,24,noviembre,2017,322,1075,1214
534,jueves,30,noviembre,2017,3499,1023,1233
535,sábado,16,diciembre,2017,1377,634,486
536,sábado,26,diciembre,2015,939,NA,NA
537,sábado,16,enero,2016,1265,NA,NA
538,lunes,4,enero,2016,161,NA,NA
539,jueves,19,febrero,2015,2697,NA,NA
540,martes,3,febrero,2015,2686,NA,NA
541,domingo,1,marzo,2015,1199,NA,NA
542,lunes,26,enero,2015,2725,NA,NA
543,sábado,17,enero,2015,1701,NA,NA
544,viernes,23,enero,2015,2769,NA,NA
545,miércoles,9,marzo,2016,1848,NA,NA
546,domingo,31,enero,2016,1357,NA,NA
547,viernes,11,marzo,2016,2533,NA,NA
548,jueves,17,marzo,2016,2577,NA,NA
549,lunes,25,enero,2016,2594,NA,NA
550,domingo,16,noviembre,2014,1019,NA,NA
551,domingo,13,septiembre,2015,975,NA,NA
552,martes,15,septiembre,2015,2098,NA,NA
553,lunes,14,septiembre,2015,213,NA,NA
554,domingo,21,junio,2015,872,NA,NA
555,domingo,7,junio,2015,1135,NA,NA
556,viernes,5,junio,2015,2399,NA,NA
557,sábado,18,julio,2015,1237,NA,NA
558,sábado,8,agosto,2015,1338,NA,NA
559,sábado,1,agosto,2015,1249,NA,NA
560,lunes,13,julio,2015,2585,NA,NA
561,sábado,18,abril,2015,2673,NA,NA
562,jueves,16,abril,2015,298,NA,NA
563,martes,3,marzo,2015,3034,NA,NA
564,sábado,19,enero,2019,2194,678,718
565,jueves,24,enero,2019,4077,658,1223
566,miércoles,30,enero,2019,0,716,1410
567,viernes,8,febrero,2019,3904,1003,1318
568,sábado,9,febrero,2019,2369,472,706
569,jueves,21,febrero,2019,3870,680,1432
570,lunes,25,marzo,2019,3687,780,1362
571,viernes,29,marzo,2019,4045,703,1303
572,miércoles,10,abril,2019,4220,1170,1502
573,sábado,6,julio,2019,1964,464,644
574,jueves,25,julio,2019,2226,626,883
575,lunes,22,julio,2019,3541,813,1108
576,domingo,28,julio,2019,2099,465,597
577,viernes,22,noviembre,2013,205,NA,NA
578,miércoles,14,septiembre,2016,2875,917,1011
579,sábado,17,septiembre,2016,1244,430,403
580,miércoles,28,septiembre,2016,2028,552,631
581,jueves,6,octubre,2016,3013,917,1092
582,miércoles,26,octubre,2016,3014,1002,111
583,lunes,31,octubre,2016,2437,826,940
584,sábado,19,noviembre,2016,1132,449,434
585,lunes,12,diciembre,2016,2336,787,919
586,miércoles,28,diciembre,2016,2116,665,667
587,domingo,1,enero,2017,636,273,435
588,jueves,5,enero,2017,2819,895,906
589,miércoles,22,febrero,2017,3273,1155,1335
590,domingo,26,marzo,2017,1129,548,775
591,domingo,7,mayo,2017,115,560,624
592,sábado,27,mayo,2017,156,688,663
593,domingo,28,mayo,2017,1485,556,950
