Día de la semana,Día,Mes,Año,Fecha,Reforma,Revolución,Patriotismo,total
martes,27,enero,2015,2015-01-27,2968,0,0,2968
miercoles,28,enero,2015,2015-01-28,2928,0,0,2928
jueves,29,enero,2015,2015-01-29,2856,0,0,2856
viernes,30,enero,2015,2015-01-30,2539,0,0,2539
sabado,31,enero,2015,2015-01-31,1383,0,0,1383
domingo,1,febrero,2015,2015-02-01,1021,0,0,1021
lunes,2,febrero,2015,2015-02-02,1045,0,0,1045
martes,3,febrero,2015,2015-02-03,2686,0,0,2686
miercoles,4,febrero,2015,2015-02-04,2896,0,0,2896
jueves,5,febrero,2015,2015-02-05,2799,0,0,2799
viernes,6,febrero,2015,2015-02-06,2729,0,0,2729
sabado,7,febrero,2015,2015-02-07,1652,0,0,1652
domingo,8,febrero,2015,2015-02-08,1629,0,0,1629
lunes,9,febrero,2015,2015-02-09,2061,0,0,2061
martes,10,febrero,2015,2015-02-10,2243,0,0,2243
miercoles,11,febrero,2015,2015-02-11,2109,0,0,2109
jueves,12,febrero,2015,2015-02-12,2253,0,0,2253
viernes,13,febrero,2015,2015-02-13,2292,0,0,2292
sabado,14,febrero,2015,2015-02-14,1378,0,0,1378
domingo,15,febrero,2015,2015-02-15,11,0,0,11
lunes,16,febrero,2015,2015-02-16,2427,0,0,2427
martes,17,febrero,2015,2015-02-17,2674,0,0,2674
miercoles,18,febrero,2015,2015-02-18,2767,0,0,2767
jueves,19,febrero,2015,2015-02-19,2697,0,0,2697
viernes,20,febrero,2015,2015-02-20,2783,0,0,2783
sabado,21,febrero,2015,2015-02-21,1584,0,0,1584
domingo,22,febrero,2015,2015-02-22,1377,0,0,1377
